Giacomo Bastianelli,Co-Founder & CEO,Lounjee
Anna Baumann,CEO,Rogue Sports
Sarah Müller,Managing Director,kununu
Leonard Langenscheidt,Principal,BITKRAFT
Videesha Boeckle,Founding Partner,Signals Venture Capital
Julienne Ernst,International Growth Strategy and Sales Manager,Google
Michael Möglich,Head of Market Development,Monese
Silke Grimmer,CPO,AssistMe
Juan Urdiales,Co-founder & Co-CEO,Jobandtalent
Pierre Sabrowski,Co-Founder & CEO,dive solutions
Felix Jahn,Founder & CEO,McMakler
Marieke Christmann,Venture Capital Investor,Octopus Ventures
Jeppe Høier,Partner,Maersk Growth
Micha Y. Breakstone,Co-Founder & President,Chorus.ai
Liraz Margalit,Head of Behavioral Research,Clicktale
Olga Feldmeier,CEO,SMART VALOR
Lucas von Cranach,Founder & CEO,Onefootball
Carsten Borchert,Managing Director,SciFlow
Michael Moss,CEO,PromoMii
Philipp Pausder,Co-Founder & CEO,Thermondo
Davidi Vortman,Co-Founder,Lumos Global
Andreas Koenig,CEO,ProGlove
Dominic Williams,President & Chief Scientist,Dfinity
Christian Bogatu,CEO,Fresh Energy
Anton Inshutin,Managing Partner,RTP Global
Maxim Lyadvinsky,CEO,Bloomio
Johan Svanstrom,Partner,EQT Ventures
Boris Mittermueller,COO,Circ
Lawrence Leuschner,Co-Founder & CEO,TIER Mobility
Tanja Voigt,General Counsel,Movinga
Benny Bennet Jürgens,Founder & CEO,Nect GmbH
Irma Camperio Ciani,Sponsorship & Startup Stage Moderator,NOAH Advisors
Jan Wachtel,Chief Digital and Publishing Officer,RTL Germany
Guy Galonska,Founder & CEO,Infarm
Yotam Idan,Co-Founder & CEO,WeTrip
Stephen Nundy,CTO / Partner,Lakestar
Antonin Cohen,CEO,Harmony
Anna Halmer,Deputy General Counsel,Delivery Hero
Patrick Andrae,Co-Founder & CEO,HomeToGo
Samuel Mueller,Co-Founder & CEO,Scandit
Alexander Adam,Founder & CEO,campai
Alayna Palgon,Managing Director, USA,The Cirqle
Manuel Silva Martinez,Managing Partner,Santander InnoVentures
Simon Bolz,CEO & Co-Founder,Klara
Steven Mendel,CEO & Co-founder,Bought By Many
Jonas De Cooman,Co-Founder,Spott
Lukasz Koltowski,CEO,AioCare
Gaston Tourn,CMO,Bettzeit
David Meinertz,Founder & CEO,Zava
Anna Polishchuk,Co-Founder,Lalafo
Christian Saller,General Partner,HV Holtzbrinck Ventures
Wolf Hisserich,CEO Germany,Qwant
Pascal Leonard Blum,Cofounder and CEO,unu
Carlos Pierre Trias de Bes,CEO & Founder,Badi
Jürgen Galler,CEO,1plusX
Ewout van Jarwaarde,CEO,CarNext.com
Mehul Agrawal,Co-Founder & COO,Cars24
Sebastian Schaal,Founder,luminovo.ai
Walter Masalin,Partner,NGP Capital
Paul Besnainou,Founder & Executive Chairman,SWEET INN
Paul Hammer,CEO & Founder,BIOMES
Ye Huang,Head of Solution Architects, Alibaba Cloud DACH & CEE,Alibaba Group
Henrik Haenecke,CFO & CDO,Berliner Verkehrsbetriebe
Eric Finnas Dahlstrom,CEO,JamesEdition
Yishai Fried,Head of Online Marketing,Frontier Car Group
Kian Moini,Co-Founder & CEO,Lamudi
Julian Hoelz,CEO,tribeapp.com
Philipp Man,CEO,Chronext
Christoph Jung,Founder & CEO,MYCS
Koen Köppen,CTO,Klarna
Tina Glage,Founder & CEO,Superfari
Michael Shangkuan,CEO,Lingoda
Andreas Bodczek,CEO,IDnow
Victoria Engelhardt,Co-Founder & CEO,Keleya
Aline Vedder,Investment Manager,Ananda Impact Ventures
Constantine Gonticas,Director,Green Square Capital
Lisen Almgren,Founder & MD,Soundry
Rafał Han,Co-Founder & CEO,Silvair
Benjamin Kuna,Founder,Tylko
Ramin Niroumand,Founder & CEO,FinLeap
Ilja Solomonovs,Founder & CEO,Senmotion
Daniel Koehler,Co-Founder,Weddyplace
Roman Scharf,Partner,Capital300
Kaspar Neftel,Founder & CEO,SPAZE
Joe Root,Co-Founder & CEO,Permutive
Tamaz Georgadze,CEO,Raisin
Tom Henriksson,General Partner,OpenOcean
Fredrik Hjelm,Co-Founder & CEO,Voi Technology
Hans-Christian Boos,CEO & Founder,arago
Pamela Spence,Partner, Global Life Sciences Industry leader,Ernst & Young
Johannes Riedel,CEO,AIPARK
Fabian Thylmann,Special Advisor,Cannamedical Pharma
Neal Sinno,Chief Revenue Officer,Spot.IM
Florian Falk,CEO,Just Spices
Daniel Kreis,CEO,Deutsche Handelsbank
Rob Moffat,Partner,Balderton Capital
Constantin Schwaab,CEO,Wirelane
Kilian Wagner,Co-Founder & CEO,Viu Ventures
Jörg Mayer,Founder & CEO,CityLoop Travel GmbH
Florian Deleuil,Product Manager,Netatmo
Marta Daina,Co-Founder & CEO,CarPlanner
Werner Kräutlein,Founder & CEO,WechselGott
Alexander Schlomberg,Co-Founder & MD,expertlead
Patrick Kück,Director Strategy and Innovation,Porsche
Thaddäus Hocotz,Founder & CEO,Canostix
Itamar Benedy,Co-Founder & CEO,Anzu
Paul Morgenthaler,Principal,CommerzVentures
